Transaction ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request
438d555b-8f16-4170-b20b,2024-03-06,20:59:16,station,None,,Standard,off-peak,53.0,london kings cross,York,2024-03-06,22:15:00,12:05 AM,00:05:00,OnTime,,false
572298BC-1D7E-4700-9912,2024/01/30,06:04:26,Online, Credit Card,,Std, Anytime  ,70.0,London Kings Cross,York,30-01-2024,07:30:00,09:20:00,09:20:00, On Time,N/A,0
b184410b-aee8-40cd-9cc2,2024-02-09,20:26:48, Station, Contactless,,Standard,Advance,£35.00,London Kings Cross,York  ,15/02/2024,17:45:00,7:35 PM,,Canceled,Technical Issue,No
6d0eaf04-359b-4378-968e,16/01/2024,06:12:08,ONLINE,n/a,,First Class,Anytime,59.0,Reading,SWINDON,2024-01-16,07:30:00,08:15:00,08:15:00, On Time,,0
6e82275afc18482d8c05,01/04/2024,17:29:34, Station,Contactless,,Standard,Anytime  ,,london st pancras  ,BIRMINGHAM NEW STREET,01/04/2024,18:45:00,20:05:00,20:05:00,On Time,,N
231A88F7-760F-4C3F-A130,2024-02-19,15:09:29,station,Contactless,Senior,Std,Advance,£2.00,Manchester Piccadilly,liverpool lime street,02/20/2024,1:30 PM,2:00 PM,14:00:00,On Time,,no
ca518dd2-df7a-4b0a-892e,"January 19, 2024",19:30:07,Online,Credit Card,NULL,Standard  ,advance,2.0,manchester piccadilly,LIVERPOOL LIME STREET,05-02-2024,18:45:00,7:15 PM,19:15:00,OnTime,,No
D8731609-F124-44B6-ADFE,03/02/2024,21:37:47,online,Credit Card,,Standard,Advance,7.0,London Euston,Birmingham New Street,08-02-2024,20:00:00,21:20:00,21:20:00, ON TIME,N/A,no
4b5f72d0-74b4-4312-babc,13-01-2024,10:54 AM,Online  ,Contactless,Senior,Standard,advance,2.0,manchester piccadilly, Liverpool Lime Street,14-01-2024,09:15:00,9:45 AM,,Cancelled, Technical Issue,no
9f14e1a0-e6da-4495-b45f,2024-02-07,06:01:41,Online,CC, senior,Standard,anytime,11.0,Liverpool Lime Street  ,Crewe,2024/02/07,07:30:00,08:05:00,8:05 AM,On-Time,,No
6485dc6b-433b-4ea0-a52b,2024-03-19,02:50:47,Station,CONTACTLESS,Disabled  , First Class,Off-Peak,10.0, Liverpool Lime Street,Manchester Piccadilly,2024-03-19,04:15:00,04:45:00,04:45:00,On Time,,N
7c7122eb-00f6-4ae8-bfe8,08/04/2024,01:58:15,Online,Contactless,,STANDARD, Advance,3.0,Liverpool Lime Street,Manchester Piccadilly,09/04/2024,00:15:00,12:45 AM,NULL, On Time  ,NULL,false
29195810-0232-49b7-b24f,12-03-2024,00:26:33,STATION  ,CC,,standard,OFF-PEAK  ,15.0,Liverpool Lime Street,LEEDS,"March 12, 2024",01:45:00,3:15 AM,3:15 AM,On Time,,N
4c432a85-cc1e-4c04-a4f2,2024/01/03,07:27:49,Online,Creditcard,,Standard,Anytime,,London Paddington,reading,03/01/2024,07:45:00,08:45:00,08:45:00,On Time,,N
47849daa-ce68-4e1c-a28a,05-04-2024,04:52:26,Online,Contactless,Adult,STANDARD,Anytime,3.0,Manchester Piccadilly,LIVERPOOL LIME STREET,2024-04-05,06:15:00,06:45:00,06:45:00,On Time  ,,No
664195da-ec0a-4703-bc93,24-02-2024,20:21:49,Online, DEBIT CARD  ,,Standard,Advance  ,£21.00,Birmingham New Street  ,London Euston,26/02/2024,6:45 PM,20:05:00,20:05:00,On Time,,0
cadf970c-362c-4e29-bcf8,2024-03-05,00:54:07,Online,NULL,,Standrd, Off-Peak,5.0,LIVERPOOL LIME STREET,Manchester Piccadilly,2024-03-05,02:15:00,2:45 AM,02:45:00,on time,n/a,0
9ea25338-f047-4e34-97e2,2024-01-09,6:06 AM,Station,Contact less,, Standard,ADVANCE,-8.0,LONDON ST PANCRAS,BIRMINGHAM NEW STREET,10/01/2024,4:30 AM,05:50:00,05:50:00, on time,,N
14fa47d5-5894-42c5-9676,04/12/2024,07:58:14,Online,,Senior,Standard,Advance,N/A, Manchester Piccadilly,Liverpool Lime Street  ,13-04-2024,06:15:00,06:45:00,06:45:00, on time,,N
90f239a1-02d8-4ed7-867c,2024-01-07,11:07 PM,Station, Contactless,,Std,Advance,3.0,Liverpool Lime Street,Manchester Piccadilly,2024-01-08,00:30:00,01:00:00,01:00:00,ON TIME,,N
288c3965-ca62-4855-b4f5,2024/01/31,20:27:12,ONLINE  ,Credit Card,,standard,Advance  ,13.0,London Paddington,Reading,2024/02/01,18:45:00,19:45:00,19:45:00,OnTime,,NULL
7b37b509-d1eb-48f1-b065,02-03-2024,07:27:48,Online,Credit Card,Adult,STANDARD,Off-Peak,2.0,Manchester Piccadilly,Liverpool Lime Street,2024-03-02,08:45:00,09:15:00,,Cancelled,TRAFFIC,Y
37501d3c-0e84-4a0a-ab41,2024-01-06,7:17 AM, Online,Credit Card  ,, STANDARD,Off-Peak,-, London Kings Cross,YORK,01/06/2024,08:45:00,10:35:00,10:35:00,ON TIME,,FALSE
dd61cc48-723a-44d9-b3f1,01/30/2024,14:00:41,Online,contactless,,Std,Advance,3.0,Liverpool Lime Street,Manchester Piccadilly  ,02/02/2024,12:30:00,13:00:00,1:00 PM,On-Time,,FALSE
f2667610-9d31-4de1-91a9,23/01/2024,10:32 PM,Online,Credit Card  ,Senior,Standard,ADVANCE,£2.00,Liverpool Lime Street, Manchester Piccadilly,01/24/2024,00:00:00,12:30 AM,00:30:00,On-Time,,no
68fc52ba-29ee-43cc-9171,02/09/2024,15:33:13,Online  ,Contactless,,Standard,Advance  ,8.0,London St Pancras  ,Birmingham New Street  ,10-02-2024,14:00:00,15:20:00,3:20 PM,On Time,,N
2AFC415B-376D-4CAA-A1DA,2024/04/21,08:59:21,Online,Contactless,,Standard,OFF-PEAK,£19.00,London Paddington,Reading,21-04-2024,10:15 AM,11:15:00,11:15 AM,On Time,NULL,0
8b23d34f-851c-4e2a-ba75,08-03-2024,06:36:21,Station,Creditcard,,Standard,ADVANCE  ,8.00 GBP,London St Pancras, birmingham new street,03/09/2024,05:00:00,06:20:00,06:20:00,On Time,,No
3049b728-a488-41e3-94d1,04/12/2024,08:16:09,Online,credit card,,Standrd,advance  ,13.0,London Paddington  , Reading  ,04/13/2024,7:45 AM,08:45:00,08:45:00,on time  ,,0
72ef6894-4ae6-49eb-ad9f,04/06/2024,12:28:09,Online,Credit Card,NULL,Standard,Off-Peak,None,London Euston, Birmingham New Street,06/04/2024,13:45:00,15:05:00,15:05:00,On Time  ,,
ae5b01d2-5fcc-41ce-b2f5,03/02/2024,20:18:39,Online,credit card,,standard,Advance,8.0,London St Pancras,Birmingham New Street,04-02-2024,18:45:00,20:05:00,20:05:00, on time,,no
dceb04dd-0f22-49aa-b78f,02/03/2024,1:02 PM,Station,credit card,Adult,STANDARD,OFF-PEAK,,London Paddington,Reading,02/03/2024,14:30:00,3:30 PM,15:30:00,ON TIME,NULL,FALSE
6de87f1f-2d56-4bef-8767,13/02/2024,20:21:12,Online,Credit Card,,Standrd,advance,£5.00, Birmingham New Street,tamworth,02/21/2024,18:45:00,19:05:00,7:05 PM,On Time,,No
CE1BCACC-C640-42BF-8BE8,26/04/2024,04:51:54,Station,Contactless,,Standard,Anytime,£70.00,London Kings Cross,York,2024-04-26,06:15:00,08:05:00,08:05:00,On Time,,No
f2e36e9c-261c-473d-aff3,01/13/2024,11:53 AM,Online,contactless,,STANDARD,Off-Peak,12.0,London St Pancras, Birmingham New Street,2024/01/13,13:15:00,2:35 PM,14:35:00,On-Time,,FALSE
25214117-245f-43c4-8c4d,2024-03-27,2:58 PM,Online,Credit Crad,,standard, Anytime,13.0,london euston,Birmingham New Street,2024-03-27,4:15 PM,17:35:00,5:35 PM,On Time  ,,false
8E8C8D7E-EDA4-42EF-97F0,27/01/2024,07:59:01,Online,Contactless  ,None, Standard,Off-Peak,3.0,MANCHESTER PICCADILLY,Liverpool Lime Street,27-01-2024,09:15:00,09:45:00,,Delyed,WEATHER,No
c74284b1-1fe7-4a9f-887f,06-02-2024,01:16:59,Online,Contactless,Disabled,Standard, Off-Peak,8.0,york,DURHAM  ,06-02-2024,23:45:00,00:35:00,00:35:00,On-Time,,No
62af5af3-efbe-4ec6-867c,2024-04-25,14:37:35, Online  ,Contactless  ,None,STANDARD,Advance,n/a,manchester piccadilly,Liverpool Lime Street,2024-04-26,13:00:00,13:30:00,13:30:00,On Time,,no
024d3c07-f71c-4f47-a837,04/09/2024,23:00:29, Online, Credit Card,,Standard,Advance,3.0,Manchester Piccadilly,Liverpool Lime Street  ,04/10/2024,21:30:00,22:00:00,22:00:00,On Time,,FALSE
3b0b9d27-009b-4eee-bded,04/18/2024,09:40:50,Online,contactless,,Standard,advance,-6.0, Reading,oxford,19/04/2024,08:00:00,08:25:00,08:25:00,OnTime,,No
2f709810-a6f5-406d-b7ea,18-04-2024,12:08:28,STATION,n/a,,STANDARD,off-peak,19.0, Reading,LONDON PADDINGTON,2024/04/18,13:30:00,13:55:00,1:55 PM,On Time,,N
ba1d8325-d981-405e-9d61,19/01/2024,5:23 PM,Online,Credit Card,,Standard,ANYTIME,16.0,London St Pancras, Birmingham New Street,2024/01/19,18:45:00,20:05:00,8:05 PM,On Time,,FALSE
0dafb7cf-e67e-4754-a6ac,01/28/2024,17:45:42,Online,Contactless  ,Adult,Standard,Advance,None,manchester piccadilly,liverpool lime street,2024-01-29,16:15:00,16:45:00,16:45:00,On Time,,no
199f8159-6f9f-4620-bd7a,"March 22, 2024",10:23:48,Station  ,Credit Card,, standard,OFF-PEAK,£12.00,london st pancras,Birmingham New Street,2024-03-22,11:45 AM,13:05:00,1:05 PM,On Time,,N
FD153FCB-66EF-4495-8D72,03/27/2024,14:51:15,online,Credit Card,,Standard,advance,7.0,London Euston,Birmingham New Street,28-03-2024,1:15 PM,14:35:00,NULL,On-Time,,no
55c1b4a1-142e-4c51-b11f,17-01-2024,05:17:57, Online,CONTACTLESS  ,,First Class,Anytime  ,£19.00,Manchester Piccadilly, Liverpool Lime Street,2024-01-17,06:45:00,07:15:00,07:15:00,On Time,,No
cd7548dc-93c6-4ab7-89cc,03/26/2024,20:53:54,Online,CC,adult,Standard,Advance,2.0,Liverpool Lime Street,manchester piccadilly,27-03-2024,19:15:00,19:45:00,n/a,On Time  ,,no
0eb2ee37-1e71-4ce0-ba67,"April 28, 2024",10:19:27,Station,Credit Card,,First class ,off-peak,80.0,London St Pancras,birmingham new street,2024/04/28,11:45:00,13:05:00,13:05:00,On Time,,FALSE
B2F0B1A1-14CB-4C84-9F82,2024-02-20,08:29:13,Online,Credit Card,,standard,Advance,£13.00, London Paddington,READING,02/21/2024,07:45:00,08:45:00,,cancelled,n/a,No
cd68aca0-55ec-4b37-8634,2024-02-01,17:22:19,Online,Debit Crad, Senior,Standard,Anytime,17.0,London Paddington,reading,01-02-2024,6:45 PM,19:45:00,19:45:00,On Time,,No
AFD42C55-5F1C-4DEF-B075,2024-04-30,00:20:19, Station, contactless,,Std,Off-Peak,53.0,london kings cross,York  ,30-04-2024,01:45:00,03:35:00,03:35:00,on time,,no
8ef92c95-8156-42c7-bcc7,11/03/2024,3:00 AM,Station,Credit Card,,Std,Off-Peak  ,12.0,LONDON ST PANCRAS,Birmingham New Street,11/03/2024,04:30:00,5:50 AM,05:50:00,On Time,,No
FF6D7E48-B05C-4A09-8E42,12-01-2024,7:24 AM, Online,CREDIT CARD,,Standard,ANYTIME,35.0,london paddington,Oxford,2024-01-12,07:45:00,09:15:00,09:15:00,on time,,0
93a334c1-ec57-4599-8f6e,14-01-2024,05:07:53,Online,CREDIT CARD,,Standard, off-peak  ,10.0,London Euston  ,Birmingham New Street,2024-01-14,06:30:00,07:50:00,07:50:00, ON TIME,,0
2e776ef9-5846-4a55-be89,20-03-2024,22:11:20,Online,Contacless,, standard,Advance,6.0, Reading,Oxford,03/21/2024,20:30:00,20:55:00,,On-Time,,N
03c7eece-c96e-46b6-a0f7,2024/03/17,18:11:31,Online  ,Contact less,,Standard,advance,7.0, London Euston,BIRMINGHAM NEW STREET  ,18-03-2024,4:30 PM,17:50:00,17:50:00,On Time,,FALSE
ee22e7ec-acbc-4b3e-bbbf,11/01/2024,09:23:06,STATION,Credit Card  ,,Standard,Off-Peak,4.0,Manchester Piccadilly  , Liverpool Lime Street,"January 11, 2024",10:45:00,11:15:00,11:15:00,On-Time,,false
78983068-8517-413d-a297,2024/02/04,09:37:38, Online,CC,, Standard,Advance,13000.0, London Paddington,reading,2024-02-20,08:00:00,09:00:00,9:00 AM,On Time,N/A,FALSE
00e83427-ac5c-4440-8cc3,2024/02/02,17:25:16,Online, credit card,,Standard,Advance  ,3.0,Manchester Piccadilly,Liverpool Lime Street,02/22/2024,14:45:00,15:15:00,15:15:00,On Time,,0
